,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
4634,4634,9191894259,2017-06-09 13:09:00,756 N ADA,d1cd42256ad0b1aaf72c539fa7f4a2d9d18e51038eeef1bcf49caf06208e800b,IL,PAS,606425764.0,0964100A,WITHIN 15' OF FIRE HYDRANT,498,DOF,VOLK,150,300,0.0,150.0,Paid,2017-06-19 00:00:00,VIOL,,5105572660,772,"700 n ada, chicago, il",60642,41.895870829393786,-87.66141819606824
4635,4635,9191917516,2017-06-09 13:09:00,3933 N SPAULDING,9162dccb8eeb880fb2015c34dd5aaf8bd461a533e292a27d97c1c86a25d28175,IL,PAS,606302566.0,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,FORD,75,150,0.0,0.0,Dismissed,2017-09-25 00:00:00,,Not Liable,5202864520,714,"3900 n spaulding, chicago, il",60618,41.95305903136361,-87.71039356408353
4636,4636,9191845205,2017-06-09 13:09:00,620 E 47TH ST,9e60ab6dd8c50697eb9bcccb8e4420fc0ae298d4f1626fbd3d992bc0209eab7b,WI,CHV,741341424.0,0964110D,PARK OR STAND ON SIDEWALK,498,DOF,CHEV,60,120,0.0,60.0,Paid,2017-07-14 00:00:00,VIOL,,5205874620,817,"600 e 47th st, chicago, il",60653,41.809552479031154,-87.61063924420108
4637,4637,9191846393,2017-06-09 13:09:00,1841 N CLARK ST,bbaee1844a5029efaf624c82c76975dc7b553bd51fe91892acff6ca7e31c820e,IL,PAS,606342605.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,498,DOF,TOYT,50,100,0.0,50.0,Paid,2017-06-15 00:00:00,,,5180729900,780,"1800 n clark st, chicago, il",60614,41.9151464775153,-87.63400168727979
4638,4638,9191857709,2017-06-09 13:09:00,300 S HALSTED ST,ab19b73105773beced18250732454f72cda5cc24d679c7cdbdc3a5f86fc55a59,IL,PAS,,0964150B,PARKING/STANDING PROHIBITED ANYTIME,498,DOF,FORD,75,150,0.0,75.0,Paid,2017-06-12 00:00:00,,,0,805,"300 s halsted st, chicago, il",60661,41.87788293844288,-87.647303799065
4639,4639,9191876124,2017-06-09 13:09:00,5307 S HARDING AVE,e386f941fd81271c77eb5f7923c2de922e7a9619a2161eb4c82157b8af42e1c4,IL,PAS,604632144.0,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,CADI,75,150,0.0,75.0,Paid,2017-06-16 00:00:00,,,5019015270,616,"5300 s harding ave, chicago, il",60632,41.79660328282071,-87.72197117343778
4640,4640,9191804365,2017-06-09 13:09:00,356 E OHIO ST,fb90f6921539c3b3fe35c81dbff22696d8b37f21a395b0c926130e46fbc5e736,IL,PAS,607064360.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,498,DOF,CHEV,65,130,0.0,130.0,Paid,2017-09-22 00:00:00,FINL,,5185568700,201,"300 e ohio st, chicago, il",60611,41.89271281879174,-87.61826592296532
4641,4641,67502704,2017-06-09 13:09:00,6709 N CLARK,603e09c12c607a2ecfdc8062d4120edd10b2f5499d76fb4cc5d7a8ec73f9e04d,IL,PAS,,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,24,CPD,LINC,60,120,60.0,0.0,Define,2017-06-15 00:00:00,,,0,6788,"6700 n clark, chicago, il",60626,42.00383427560734,-87.67256728195532
4642,4642,9191772948,2017-06-09 13:10:00,3233 S HALSTED ST,c2f3053c25973849639bd119016d8f41c9518af4b30b51f920ed86ace07f3e15,IL,PAS,606433806.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,498,DOF,CHEC,50,100,50.0,0.0,Define,2017-06-12 00:00:00,,,0,814,"3200 s halsted st, chicago, il",60608,41.83544686372554,-87.64618412236733
4643,4643,9191877879,2017-06-09 13:10:00,415 W HURON ST,8de1d37ae74ab89d95a5c3a00d917ed0b4c1eaefb3314259988be3ac6f88eb8e,IL,DLC,,0976160A,REAR AND FRONT PLATE REQUIRED,498,DOF,TOYT,60,120,60.0,0.0,Define,2017-06-12 00:00:00,,,0,823,"400 w huron st, chicago, il",60654,41.89467847403209,-87.63917905536961
4644,4644,9191867984,2017-06-09 13:10:00,1118 S CANAL ST,b3d7f9c53a42fb7c8b2bb0d96ec23c623ca5c18bfbcbcdb8f04588f82af60d5c,IL,TMP,60608.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,498,DOF,HOND,65,130,158.6,0.0,Notice,2017-06-15 00:00:00,SEIZ,,5177373390,787,"1100 s canal st, chicago, il",60607,41.86830464387539,-87.63931890224958
4645,4645,9191903938,2017-06-09 13:10:00,3148 N KARLOV,6edcba81a11d0416ba13e3e42870ffb22bed921f9e5dc659b8bb5bbba5ba6c10,IL,PAS,606304257.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,498,DOF,SATR,60,120,0.0,60.0,Paid,2017-07-28 00:00:00,VIOL,,5199437610,287,"3100 n karlov, chicago, il",60641,41.9384405408603,-87.72969929569857
4646,4646,9191826689,2017-06-09 13:10:00,2044 N MILWAUKEE AV,9cc6c0d4b599c06358b2f729cdf7cbe351e081b1b0f1f082ce945ebea2a45fcc,IL,PAS,606393213.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,DODG,50,100,0.0,100.0,Paid,2017-09-28 00:00:00,FINL,,5183984440,1253,"2000 n milwaukee av, chicago, il",60647,41.91837014049331,-87.69007241608873
4647,4647,9191877878,2017-06-09 13:10:00,415 W HURON ST,8de1d37ae74ab89d95a5c3a00d917ed0b4c1eaefb3314259988be3ac6f88eb8e,IL,DLC,,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,498,DOF,TOYT,65,130,0.0,0.0,Dismissed,2017-11-05 00:00:00,,,0,823,"400 w huron st, chicago, il",60654,41.89467847403209,-87.63917905536961
4648,4648,9191897006,2017-06-09 13:10:00,3543 N WILTON,35a0a9ec4acf0daa10227a47aa1c1d2ad20f90fe1e4cd1be39f10afe87f2a726,IL,PAS,606561738.0,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,CHEV,75,150,0.0,75.0,Paid,2017-09-29 00:00:00,,,5205849410,781,"3500 n wilton, chicago, il",60657,41.94669675437129,-87.65304353133494
