,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
3636,3636,67879875,2017-06-10 18:34:00,6300 S HAYES DR,48d9e19948c003e655d3197ac2a2b99cac565f29bdd3ffbdabb4c6e39e95df11,IL,PAS,,0964200B,PARK OUTSIDE METERED SPACE,3,CPD,DODG,50,100,0.0,50.0,Paid,2017-06-21 00:00:00,,,0,12398,"6300 s hayes dr, chicago, il",60637,41.78011719194562,-87.57835506985228
3637,3637,9191112988,2017-06-10 18:34:00,1611 N WELLS ST,cf7759f1269d0cae2ba7aff2ff486565b52f29062497848d117e4717b08a527d,IL,MCY,606262268.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,BMW,50,100,122.0,0.0,Notice,2017-06-15 00:00:00,SEIZ,,5199781110,1468,"1600 n wells st, chicago, il",60614,41.91149703136361,-87.6346930712969
3638,3638,9191871057,2017-06-10 18:34:00,2640 S CALIFORNIA BLVD,9732bfa602a31541e2a6312e00d1fc83dd69221a301c4ec8d36e99b41db83153,IL,PAS,60804.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,HOND,50,100,0.0,50.0,Paid,2017-07-17 00:00:00,VIOL,,5205847310,1465,"2600 s california blvd, chicago, il",60608,41.84425352612444,-87.69468402738849
3639,3639,68145128,2017-06-10 18:35:00,26274 N FRANCISCO,bccc03944cf801c393abfdf98034f04ca85e95fb1a71f5536e6ec288989f562f,IL,PAS,60402.0,0964090E,RESIDENTIAL PERMIT PARKING,14,CPD,TOYT,75,150,183.0,0.0,Notice,2017-06-22 00:00:00,FINL,,5205928420,3777,"26200 n francisco, chicago, il",60647,41.91382048698364,-87.6991815
3640,3640,68104424,2017-06-10 18:35:00,111 W ILLINOIS,ad6f386ed865346b0e521e3673ffdc6cac857152a406efb0f4f60e1639fe7159,IL,PAS,606593501.0,0964150B,PARKING/STANDING PROHIBITED ANYTIME,211,CPD-Other,HOND,75,150,0.0,75.0,Paid,2017-07-30 00:00:00,DETR,,5186611590,16163,"100 w illinois, chicago, il",60654,41.89078454342439,-87.63228938773155
3641,3641,67879876,2017-06-10 18:36:00,6300 S HAYES DR,8421847812403dd5014f96b3fd49e234b0aa74d36275c3354b308306d2fd5872,IL,PAS,606081611.0,0964200B,PARK OUTSIDE METERED SPACE,3,CPD,HYUN,50,100,122.0,0.0,Notice,2017-06-29 00:00:00,DLS,,5058611890,12398,"6300 s hayes dr, chicago, il",60637,41.78011719194562,-87.57835506985228
3642,3642,9191857382,2017-06-10 18:36:00,5341 S LAKE PARK - INNER,c0d909c798ef0e257886711ffedc6df03b9b1dd05de788d90eaa8e551c30b4bb,IL,PAS,606493545.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,FORD,50,100,0.0,50.0,Paid,2017-07-06 00:00:00,VIOL,,5174598900,1511,"5300 s lake park - inner, chicago, il",60615,41.79892209888148,-87.58720265586707
3643,3643,9191871058,2017-06-10 18:36:00,2667 S CALIFORNIA BLVD,9f4ff45442743312d3726a27b5325ba2f6f9c392e77248fe7b4022434f50bcb2,IL,PAS,,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,HYUN,50,100,0.0,50.0,Paid,2017-06-12 00:00:00,,,0,1465,"2600 s california blvd, chicago, il",60608,41.84474870047784,-87.69458512846087
3644,3644,67879877,2017-06-10 18:37:00,6300 S HAYES DR,53db992e95a7b01bf11324523f8950f58bd76ac5469dfdcbee5258ee9e87413a,IL,PAS,60458.0,0964200B,PARK OUTSIDE METERED SPACE,3,CPD,CHEV,50,100,0.0,122.0,Paid,2018-03-01 00:00:00,FINL,,5206043030,12398,"6300 s hayes dr, chicago, il",60637,41.78011719194562,-87.57835506985228
3645,3645,9191112989,2017-06-10 18:37:00,1613 N WELLS ST,d5fddfabd023cbaddf68728e54f5f2d94e31313d4cdbef8175a9490cf554b949,IL,PAS,608042456.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,NISS,50,100,0.0,50.0,Paid,2017-06-23 00:00:00,VIOL,,5200222990,1468,"1600 n wells st, chicago, il",60614,41.91163226840027,-87.63467325863677
3646,3646,67930670,2017-06-10 18:37:00,8605 S THROOP,b688901637fa8f29e3a5f205e2898d3eeec7947e0326fb39655d42f9119634f0,IL,TMP,60620.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",6,CPD,JEEP,200,400,488.0,0.0,Notice,2017-06-29 00:00:00,FINL,,5206043280,15164,"8600 s throop, chicago, il",60620,41.73746445045876,-87.65577370618637
3647,3647,67497082,2017-06-10 18:37:00,330 W 35TH STREET,21e571ecbe3914e0def58c75fc3d4f84f520f8ca3e51bc2fa0b5a70197054b81,IL,DLC,,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,145,CPD-Other,CHEV,60,120,60.0,0.0,Define,2017-08-22 00:00:00,,,0,6404,"300 w 35th street, chicago, il",60616,41.830972123764425,-87.63503748096183
