,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
4313,9191873212,2017-06-09 12:31:00,2558 S PRINCETON,a1da91d2b7a1184d3d72d5308d59d43c0674d242c913e4f6c3ae536a51e30e75,IL,PAS,606293518,0964100A,WITHIN 15' OF FIRE HYDRANT,498,DOF,HOND,150,300,0.0,150.0,Paid,2017-06-30 00:00:00,VIOL,,5161270830,801,"2500 s princeton, chicago, il",60616,41.8458836782608,-87.63465791739647
4314,9191664513,2017-06-09 12:31:00,1403 S MICHIGAN AVE,8e04da4769b3dc22e20500d256f1c7b1c4bb26a7f78b77d989aa8875f60c286f,IL,PAS,,0964130,PARK OR BLOCK ALLEY,498,DOF,NISS,150,300,150.0,0.0,Define,2017-06-12 00:00:00,,,0,813,"1400 s michigan ave, chicago, il",60605,41.86397473537383,-87.62402904018354
4315,9191857704,2017-06-09 12:31:00,110 S PEORIA ST,17559ada3007aec3a4be2007bb233e375453a2827aa41bd321171ca81df7997a,IL,TRK,60632,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,CHEV,75,150,183.0,0.0,Notice,2017-06-15 00:00:00,FINL,,5202747830,805,"100 s peoria st, chicago, il",60607,41.88026178742198,-87.64968297283625
4316,9191836593,2017-06-09 12:31:00,3724 N CLARK ST,8f93cf878b36878235075c19f6e681c16b666db087f624fe8ba5dda8848fc743,IL,PAS,609141132,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,498,DOF,HOND,60,120,0.0,60.0,Paid,2017-06-14 00:00:00,,,0,781,"3700 n clark st, chicago, il",60613,41.94971798889149,-87.65855534667308
4317,9191931619,2017-06-09 12:32:00,602 W WEBSTER AVE,02ac0748d3611d7e360548706917ef0a552f87b5f07a0d850a170f24f6b3fda1,IL,PAS,606373148,0964100A,WITHIN 15' OF FIRE HYDRANT,498,DOF,FORD,150,300,0.0,150.0,Paid,2017-06-27 00:00:00,VIOL,,5190969670,129,"600 w webster ave, chicago, il",60614,41.92195080342755,-87.6439345644387
4318,9191931442,2017-06-09 12:32:00,2104 N LAMON,0a3b6954480858534a5f0ab3e404fb115b4e1ab5359c47577c786fe58973c3d6,IL,PAS,601072912,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,FORD,75,150,0.0,75.0,Paid,2017-07-05 00:00:00,VIOL,,5193043490,638,"2100 n lamon, chicago, il",60639,41.91893857507645,-87.74864735209744
4319,9191768412,2017-06-09 12:32:00,955 N RUSH,1a817e32f563af69c7d680e8da582ece647323345f9cb97d633c22f94447b53a,IL,PAS,605275324,0964150B,PARKING/STANDING PROHIBITED ANYTIME,498,DOF,MERZ,75,150,0.0,75.0,Paid,2017-07-06 00:00:00,VIOL,,5167885460,794,"900 n rush, chicago, il",60611,41.90044271445201,-87.62730447578815
4320,9191664514,2017-06-09 12:32:00,173 E 14TH ST,bf6f2374e7632f57270003bf71d838cdbac5ecf886b6803b1d05cc6f414738d6,IL,PAS,605436034,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,HOND,75,150,0.0,75.0,Paid,2017-06-21 00:00:00,VIOL,,5109805090,813,"100 e 14th st, chicago, il",60605,41.864035265738316,-87.62279700867636
4321,9191877123,2017-06-09 12:32:00,812 N LESSING,aa5ce6ba7ca28f9bf7cd5a8e63bf0d1d24a5cf4ca4da4e266a1b0984572503cb,IL,PAS,,0964110G,PARK OR STAND IN VIADUCT/UNDERPASS,498,DOF,INFI,75,150,75.0,0.0,Define,2017-06-12 00:00:00,,,0,796,"800 n lessing, chicago, il",60642,41.896742247112265,-87.6509020326554
4322,9191846198,2017-06-09 12:32:00,955 N RUSH,10f2d9a4ec8f96da7f777475144bb4a0b4d9259dfeb69c4aeb574e8f4876a26e,IL,PAS,606083185,0964150B,PARKING/STANDING PROHIBITED ANYTIME,498,DOF,FORD,75,150,0.0,75.0,Paid,2017-08-22 00:00:00,DETR,,5204483790,821,"900 n rush, chicago, il",60611,41.90044271445201,-87.62730447578815
